1,0,18700,1
1,0,25239,0
1,0,25937,0
1,0,26224,0
1,0,26601,0
2,0,42425,1
2,0,41306,1
2,0,42003,0
2,0,42707,0
2,0,27616,0
3,0,28525,1
3,0,20183,0
3,0,28626,0
3,0,28692,0
3,0,27874,0
4,0,19489,1
4,0,19016,1
4,0,19383,0
4,0,19849,0
4,0,20208,0
5,0,28783,1
5,0,27953,1
5,0,27553,0
5,0,28676,0
5,0,28699,0
6,0,27545,1
6,0,26914,0
6,0,42701,0
6,0,42115,0
6,0,42733,0
7,0,26224,1
7,0,18700,0
7,0,25239,0
7,0,25937,0
7,0,26601,0
8,0,26601,1
8,0,25239,0
8,0,18700,0
8,0,25937,0
8,0,14284,0
9,0,44136,1
9,0,43485,0
9,0,4301,0
9,0,42524,0
9,0,10339,0
10,0,44012,1
10,0,43999,0
10,0,43985,0
10,0,43970,0
10,0,43950,0
11,0,18700,1
11,0,19016,0
11,0,25239,0
11,0,25937,0
11,0,26224,0
12,0,28774,1
12,0,28613,0
12,0,28574,0
12,0,31115,0
12,0,41945,0
