1,0,503,1
1,0,11012,1
1,0,11013,0
1,0,14482,0
1,0,14488,0
2,0,20119,1
2,0,11775,0
2,0,2771,0
2,0,14537,0
2,0,12802,0
3,0,507,1
3,0,15160,1
3,0,14472,1
3,0,11385,0
3,0,2771,0
4,0,11775,1
4,0,14537,1
4,0,2771,1
4,0,20119,0
4,0,11385,0
5,0,14473,1
5,0,15160,0
5,0,11385,0
5,0,11342,0
5,0,14472,0
6,0,507,1
6,0,14537,1
6,0,2771,1
6,0,12802,1
6,0,2770,1
7,0,11100,1
7,0,11012,0
7,0,33752,0
7,0,12864,0
7,0,560,0
8,0,33766,1
8,0,33751,1
8,0,12115,0
8,0,36814,0
8,0,507,0
9,0,14472,1
9,0,11381,0
9,0,11385,0
9,0,559,0
9,0,11342,0
10,0,1135,1
10,0,11097,0
10,0,657,0
10,0,11098,0
10,0,11100,0
11,0,11395,1
11,0,37883,0
11,0,11775,0
11,0,12802,0
11,0,14861,0
12,0,31515,1
12,0,31508,0
12,0,20119,0
12,0,11775,0
12,0,2771,0
